================================================================================
ОТЧЁТ ОБ ЭКСПЕРИМЕНТЕ
Дата: 2026-05-15 20:50:47
Количество прогонов на SNR: 3
Диапазон SNR: 0.1 - 30.0 (лин.)
================================================================================

РЕЗУЛЬТАТЫ:
SNR(дБ)    P(N̂=2)      MSE(τ) мкс²          MSE(A)          MSE(ψ) рад²    
---------------------------------------------------------------------------
-10.0      1.000        1.750e+02            1.386e-02       1.812e-01      
-3.0       0.333        1.250e+01            2.316e-02       5.046e-03      
0.0        1.000        2.917e+01            4.624e-03       2.755e-02      
3.0        1.000        3.122e+04            2.777e-02       1.770e-01      
4.8        1.000        3.201e+04            2.079e-02       1.093e-01      
7.0        1.000        4.167e+00            1.230e-03       4.363e-03      
8.5        0.667        1.250e+01            9.847e-04       1.297e-02      
10.0       0.667        0.000e+00            3.228e-04       9.231e-04      
11.8       1.000        0.000e+00            2.390e-04       2.327e-04      
14.8       1.000        0.000e+00            2.651e-04       1.903e-04      
